team_name_home,team_score_home,team_name_away,team_score_away,possession_%_home,possession_%_away,total_shots_home,total_shots_away,on_target_home,on_target_away,off_target_home,off_target_away,blocked_home,blocked_away,passing_%_home,passing_%_away,attacking_3rd_%_home,attacking_3rd_%_away,key_passes_home,key_passes_away,clear-cut_chances_home,clear-cut_chances_away,crosses_%_home,crosses_%_away,dribbles_%_home,dribbles_%_away,corners_home,corners_away,offsides_home,offsides_away,recoveries_home,recoveries_away,tackles_%_home,tackles_%_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,headed_clearances_home,headed_clearances_away,aerial_duels_%_home,aerial_duels_%_away,blocked_crosses_home,blocked_crosses_away,saves_home,saves_away,catches_%_home,catches_%_away,fouls_committed_home,fouls_committed_away,fouls_won_home,fouls_won_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,match_result
Wigan Athletic,2,Gillingham,0,59.0,41.0,19,7,8,2,7,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,9,0,0,12,12,11,12,0,3,0,0,1
Blackburn Rovers,3,Walsall,1,63.0,37.0,19,10,9,4,7,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,6,0,0,5,12,12,5,0,0,0,0,1
Blackburn Rovers,1,Northampton Town,1,59.0,41.0,16,4,7,1,5,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,5,0,0,8,11,10,8,0,0,0,0,0
Bradford City,0,AFC Wimbledon,4,55.0,45.0,10,7,3,4,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,8,18,17,8,1,2,0,0,2
Doncaster Rovers,1,Bristol Rovers,3,51.0,49.0,10,10,1,6,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,7,6,5,7,1,1,0,0,2
Gillingham,2,Fleetwood Town,1,55.0,45.0,17,7,8,3,8,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,6,0,0,11,11,11,11,2,4,0,0,1
Oldham Athletic,1,Plymouth Argyle,2,51.0,49.0,19,7,3,3,8,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,3,0,0,14,8,8,14,2,5,0,0,2
Portsmouth,0,Shrewsbury Town,1,52.0,48.0,9,5,3,2,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,2,2,0,0,12,14,14,12,1,3,1,0,2
Southend United,3,Scunthorpe United,2,50.0,50.0,17,9,11,2,5,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,8,0,0,17,12,12,17,2,2,0,1,1
Rotherham United,2,Bradford City,0,57.0,43.0,16,9,8,3,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,6,0,0,13,8,8,13,0,0,0,0,1
Scunthorpe United,1,Doncaster Rovers,1,51.0,49.0,20,9,4,4,6,4,10,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,2,3,0,0,5,9,9,5,2,2,0,0,0
AFC Wimbledon,2,Blackpool,0,53.0,47.0,9,8,4,1,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,6,5,0,0,10,8,8,9,1,1,0,0,1
Bristol Rovers,3,Bradford City,1,55.0,45.0,17,7,7,2,6,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,1,4,0,0,11,15,15,9,1,0,0,0,1
Charlton Athletic,3,Walsall,1,60.0,40.0,17,12,7,5,7,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,5,0,0,8,12,12,8,1,0,0,0,1
Fleetwood Town,1,Blackburn Rovers,2,38.0,62.0,9,19,3,7,6,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,2,0,0,7,9,8,7,0,0,0,0,2
Northampton Town,2,Milton Keynes Dons,1,53.0,47.0,16,11,8,8,5,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,7,6,0,0,13,15,14,13,2,2,0,1,1
Oxford United,1,Bury,2,50.0,50.0,9,7,3,4,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,0,0,7,11,10,7,1,2,0,0,2
Peterborough United,3,Oldham Athletic,0,55.0,45.0,17,14,7,2,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,2,7,0,0,7,14,12,7,3,3,0,1,1
Plymouth Argyle,1,Wigan Athletic,3,58.0,42.0,9,8,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,9,10,10,9,0,4,0,0,2
Rotherham United,1,Portsmouth,0,61.0,39.0,15,8,1,2,8,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,5,2,0,0,8,13,12,8,1,0,0,0,1
Scunthorpe United,1,Gillingham,3,51.0,49.0,25,10,5,4,8,3,12,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,1,4,0,0,13,20,20,12,1,3,0,0,2
Shrewsbury Town,2,Doncaster Rovers,2,49.0,51.0,11,6,5,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,0,11,11,10,12,2,4,0,0,0
Blackburn Rovers,3,Shrewsbury Town,1,45.0,55.0,10,7,7,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,0,0,18,13,12,18,1,1,0,0,1
Blackpool,0,Bristol Rovers,0,52.0,48.0,11,9,1,3,7,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,3,1,0,0,9,9,9,8,0,1,0,0,0
Bradford City,1,Northampton Town,2,50.0,50.0,13,9,3,4,6,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,3,0,0,12,16,15,12,1,4,0,0,2
Bury,0,Charlton Athletic,1,43.0,57.0,7,12,0,6,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,5,0,0,0,20,9,9,20,1,2,0,0,2
Doncaster Rovers,1,Plymouth Argyle,1,48.0,52.0,6,8,4,3,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,8,6,6,8,3,0,0,0,0
Gillingham,2,Rochdale,1,42.0,58.0,14,15,7,6,4,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,5,5,0,0,19,13,12,19,1,3,0,0,1
Milton Keynes Dons,0,AFC Wimbledon,0,47.0,53.0,9,16,3,5,2,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,4,3,0,0,6,15,15,6,1,1,0,0,0
Oldham Athletic,1,Rotherham United,1,45.0,55.0,8,6,1,5,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,13,13,13,13,1,1,0,0,0
Portsmouth,1,Scunthorpe United,1,52.0,48.0,12,9,3,3,4,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,2,2,0,0,12,11,10,12,2,2,0,0,0
Southend United,1,Fleetwood Town,2,54.0,46.0,6,9,4,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,1,3,0,0,14,10,10,14,0,2,0,0,2
Walsall,2,Oxford United,1,41.0,59.0,11,14,5,7,3,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,6,3,0,0,13,13,13,13,1,2,0,0,1
Wigan Athletic,0,Peterborough United,0,49.0,51.0,14,9,5,3,4,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,3,5,0,0,12,10,9,11,0,2,0,0,0
Northampton Town,3,Southend United,1,54.0,46.0,14,10,5,2,8,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,12,15,14,12,1,0,0,0,1
Charlton Athletic,1,Oldham Athletic,0,47.0,53.0,7,12,4,4,1,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,4,4,0,0,10,13,12,9,3,3,0,0,1
Oxford United,1,Blackpool,0,45.0,55.0,11,14,5,7,5,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,7,4,0,0,8,14,14,8,1,2,0,0,1
Plymouth Argyle,3,Bury,0,53.0,47.0,15,4,7,2,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,10,8,8,10,2,1,0,1,1
AFC Wimbledon,2,Southend United,0,53.0,47.0,8,8,3,2,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,9,11,11,9,0,0,0,0,1
Bristol Rovers,2,Portsmouth,1,59.0,41.0,18,8,7,2,5,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,5,0,0,7,7,7,6,1,0,0,0,1
Charlton Athletic,1,Gillingham,2,60.0,40.0,11,9,5,3,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,4,0,0,9,13,13,8,3,3,0,0,2
Fleetwood Town,1,Bradford City,2,51.0,49.0,8,9,3,4,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,2,0,0,12,7,7,12,3,1,0,0,2
Northampton Town,0,Wigan Athletic,1,49.0,51.0,10,9,2,4,6,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,2,0,0,16,18,17,16,2,1,0,0,2
Oxford United,3,Milton Keynes Dons,1,53.0,47.0,13,12,7,7,4,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,6,4,0,0,10,6,6,10,1,2,1,0,1
Peterborough United,1,Doncaster Rovers,1,47.0,53.0,13,14,2,3,7,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,2,1,0,0,15,12,12,13,2,2,0,0,0
Plymouth Argyle,1,Walsall,0,49.0,51.0,17,7,8,4,6,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,4,7,0,0,5,8,8,5,0,2,0,0,1
Rochdale,1,Blackpool,2,48.0,52.0,10,10,2,7,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,1,0,0,12,15,15,12,0,2,0,0,2
Rotherham United,1,Blackburn Rovers,1,55.0,45.0,10,11,4,5,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,3,0,0,8,12,11,7,1,1,0,0,0
Scunthorpe United,1,Bury,0,50.0,50.0,15,16,4,6,7,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,6,2,0,0,15,17,16,15,2,3,0,0,1
Shrewsbury Town,1,Oldham Athletic,0,52.0,48.0,6,9,4,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,13,11,11,12,1,2,0,0,1
Blackburn Rovers,2,Scunthorpe United,2,60.0,40.0,18,6,7,4,7,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,2,5,0,0,11,9,8,11,3,1,0,0,0
Blackpool,2,Plymouth Argyle,2,51.0,49.0,20,7,5,2,7,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,3,0,0,13,11,11,12,1,0,0,0,0
Bradford City,3,Oxford United,2,52.0,48.0,30,16,13,7,6,4,11,5,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,5,10,0,0,6,9,9,6,0,2,1,0,1
Bury,0,Fleetwood Town,2,53.0,47.0,16,5,5,2,5,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,5,0,0,5,7,7,5,1,1,0,0,2
Gillingham,2,AFC Wimbledon,2,52.0,48.0,9,18,3,9,4,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,7,2,0,0,13,9,9,12,1,1,0,0,0
Milton Keynes Dons,1,Peterborough United,0,45.0,55.0,6,19,3,7,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,11,16,16,11,3,2,2,0,1
Oldham Athletic,1,Bristol Rovers,1,54.0,46.0,25,6,6,1,8,2,11,3,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,1,4,0,0,14,12,12,14,1,1,0,0,0
Portsmouth,3,Northampton Town,1,61.0,39.0,20,7,9,5,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,6,0,0,8,13,13,8,2,2,0,0,1
Southend United,1,Shrewsbury Town,2,62.0,38.0,13,8,4,2,6,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,3,0,0,13,14,14,10,2,2,0,0,2
Walsall,1,Rotherham United,2,44.0,56.0,8,14,3,5,2,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,2,0,0,12,14,14,12,1,2,0,0,2
