team_name_home,team_score_home,team_name_away,team_score_away,possession_%_home,possession_%_away,total_shots_home,total_shots_away,on_target_home,on_target_away,off_target_home,off_target_away,blocked_home,blocked_away,passing_%_home,passing_%_away,attacking_3rd_%_home,attacking_3rd_%_away,key_passes_home,key_passes_away,clear-cut_chances_home,clear-cut_chances_away,crosses_%_home,crosses_%_away,dribbles_%_home,dribbles_%_away,corners_home,corners_away,offsides_home,offsides_away,recoveries_home,recoveries_away,tackles_%_home,tackles_%_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,headed_clearances_home,headed_clearances_away,aerial_duels_%_home,aerial_duels_%_away,blocked_crosses_home,blocked_crosses_away,saves_home,saves_away,catches_%_home,catches_%_away,fouls_committed_home,fouls_committed_away,fouls_won_home,fouls_won_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,match_result
Oxford United,0,Sheffield United,3,49,51,0,0,4,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,0,0,1,0,0,2
Peterborough United,0,Norwich City,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Queens Park Rangers,1,West Bromwich Albion,1,50,50,0,0,3,9,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,1,0,0,0
Sheffield Wednesday,0,Milton Keynes Dons,0,33,67,0,0,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,1,0,0,0,0
Southampton,1,Chelsea,5,43,57,0,0,5,13,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,2,0,0,0,2
Southend United,2,Brentford,2,49,51,0,0,9,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,1,0,0,0,0
Tottenham Hotspur,3,Coventry City,0,60,40,0,0,10,4,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,2,0,0,1
Wigan Athletic,1,Bournemouth,1,54,46,0,0,7,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,2,0,0,0
West Ham United,2,Manchester United,2,41,59,0,0,7,6,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,1,2,0,0,0
Macclesfield Town,4,Barrow,1,57,43,0,0,7,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,1,1,0,0,1
Barrow,1,Macclesfield Town,1,54,46,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,3,1,0,0,0
Brentford,4,Bradford City,2,57,43,0,0,16,7,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,2,1,0,0,1
Notts County,0,Rotherham United,3,46,54,0,0,4,14,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,0,0,1,4,1,0,2
Oxford United,2,Accrington Stanley,0,50,50,0,0,8,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,0,2,1,0,0,1
Hastings United,1,Harrogate Town,1,42,58,0,0,6,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0
Mansfield Town,2,Lincoln City,1,50,50,0,0,10,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,0,0,1,1,0,0,1
Hereford FC,1,Cheltenham Town,2,48,52,0,0,4,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,0,0,4,0,0,0,2
