team_name_home,team_score_home,team_name_away,team_score_away,possession_%_home,possession_%_away,total_shots_home,total_shots_away,on_target_home,on_target_away,off_target_home,off_target_away,blocked_home,blocked_away,passing_%_home,passing_%_away,attacking_3rd_%_home,attacking_3rd_%_away,key_passes_home,key_passes_away,clear-cut_chances_home,clear-cut_chances_away,crosses_%_home,crosses_%_away,dribbles_%_home,dribbles_%_away,corners_home,corners_away,offsides_home,offsides_away,recoveries_home,recoveries_away,tackles_%_home,tackles_%_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,headed_clearances_home,headed_clearances_away,aerial_duels_%_home,aerial_duels_%_away,blocked_crosses_home,blocked_crosses_away,saves_home,saves_away,catches_%_home,catches_%_away,fouls_committed_home,fouls_committed_away,fouls_won_home,fouls_won_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,match_result
Celtic,1,Aberdeen,0,63,37,17,10,3,3,9,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,2,0,0,14,13,12,12,0,0,0,0,1
Hamilton Academical,0,Dundee,2,47,53,11,11,1,4,9,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,13,16,16,13,2,3,0,0,2
Hearts,2,St Johnstone,1,60,40,22,9,10,3,8,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,8,0,0,13,8,8,13,0,0,0,0,1
Kilmarnock,3,Motherwell,1,50,50,15,6,11,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,8,0,0,10,15,14,9,1,3,0,0,1
St Mirren,0,Hibernian,1,49,51,7,15,1,5,4,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,4,1,0,0,5,21,20,5,0,4,0,0,2
Kilmarnock,2,Celtic,1,42,58,7,7,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,18,8,7,18,1,2,0,0,1
Rangers,5,St Johnstone,1,61,39,21,11,10,3,5,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,2,5,0,0,9,10,10,9,0,3,0,0,1
Aberdeen,1,Motherwell,0,45,55,8,6,4,3,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,14,18,17,14,3,3,0,0,1
Dundee,0,Hibernian,3,49,51,2,17,1,7,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,1,0,0,13,12,11,11,2,1,0,0,2
Hamilton Academical,3,St Mirren,0,63,37,12,4,4,2,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,5,2,0,0,13,14,14,12,2,3,0,0,1
Hearts,0,Livingston,0,62,38,12,8,2,4,6,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,4,2,0,0,8,16,16,8,1,2,0,0,0
Hibernian,3,Kilmarnock,2,51,49,11,8,4,5,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,2,0,0,10,7,6,10,0,1,0,0,1
Livingston,1,Hamilton Academical,0,41,59,7,2,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,21,15,14,20,2,2,0,0,1
Motherwell,0,Hearts,1,59,41,9,12,5,4,3,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,5,0,0,20,16,16,20,2,1,0,0,2
Rangers,4,Dundee,0,64,36,19,8,10,1,5,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,1,6,0,0,18,12,11,18,2,4,0,1,1
St Johnstone,1,Aberdeen,1,42,58,4,17,3,7,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,11,18,18,11,3,2,0,0,0
St Mirren,0,Celtic,0,38,62,6,13,2,4,3,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,3,2,0,0,9,18,17,8,1,2,0,1,0
Celtic,1,Rangers,0,57,43,16,6,9,2,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7,0,0,14,16,14,13,2,4,0,0,1
Aberdeen,0,Kilmarnock,2,42,58,5,13,1,5,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,14,11,11,14,3,3,1,0,2
Dundee,1,Motherwell,3,55,45,4,11,4,5,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0,7,9,9,7,2,1,0,0,2
Hamilton Academical,1,St Johnstone,2,47,53,11,12,3,5,6,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,2,0,0,14,14,14,14,2,1,0,0,2
Hearts,4,St Mirren,1,63,37,30,10,7,4,16,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,3,3,0,0,13,15,15,13,2,3,0,0,1
Livingston,2,Hibernian,1,46,54,9,10,6,2,3,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,13,5,5,11,0,1,0,0,1
Motherwell,3,Rangers,3,47,53,16,11,6,6,6,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,4,0,0,20,17,17,20,3,2,0,0,0
Celtic,1,Hamilton Academical,0,69,31,19,3,3,1,14,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,2,0,0,10,13,13,10,0,2,0,0,1
Hibernian,1,Aberdeen,1,56,44,15,7,5,5,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,4,4,0,0,13,17,16,13,4,5,0,0,0
Kilmarnock,0,Hearts,1,48,52,8,11,2,4,2,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,5,2,0,0,13,19,18,12,0,3,1,0,2
St Johnstone,1,Dundee,0,37,63,7,8,3,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,6,3,3,6,0,0,0,0,1
St Mirren,0,Livingston,2,51,49,5,13,0,8,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,6,0,0,0,9,9,8,9,2,2,0,0,2
Rangers,2,St Mirren,0,59,41,11,6,8,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,6,0,0,11,18,17,11,1,4,1,0,1
St Johnstone,1,Hibernian,1,47,53,13,16,2,6,8,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,4,1,0,0,7,12,12,7,1,0,0,0,0
Hearts,1,Celtic,0,49,51,14,13,7,4,5,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,4,6,0,0,18,7,7,18,5,2,0,0,1
Dundee,0,Aberdeen,1,46,54,11,15,1,3,7,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,1,0,0,12,15,15,10,1,3,0,0,2
Livingston,0,Kilmarnock,0,57,43,7,7,3,2,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,3,0,0,16,7,7,15,1,2,0,0,0
Motherwell,0,Hamilton Academical,1,61,39,13,6,4,2,6,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,4,0,0,13,14,14,13,2,3,0,0,2
Aberdeen,1,Rangers,1,60,40,6,8,1,3,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,12,11,11,12,3,2,0,1,0
Hibernian,3,Motherwell,0,53,47,12,6,4,2,3,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,2,1,0,0,11,9,8,11,1,2,0,0,1
Celtic,3,Livingston,1,68,32,21,6,10,1,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,11,10,10,11,1,3,0,0,1
Hamilton Academical,1,Hearts,4,47,53,6,20,1,10,2,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,6,0,0,0,18,10,10,17,2,2,0,0,2
Kilmarnock,2,St Johnstone,0,53,47,17,3,6,2,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,0,13,14,14,12,1,3,0,0,1
St Mirren,2,Dundee,1,52,48,12,10,4,5,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,2,0,0,13,18,16,13,3,1,0,0,1
